   text	   data	    bss	    dec	    hex	filename
   2487	      0	      0	   2487	    9b7	sha512.o (ex build/axtls.a)
    900	      0	      0	    900	    384	sha1.o (ex build/axtls.a)
   1245	      0	      0	   1245	    4dd	rsa.o (ex build/axtls.a)
    247	      0	     32	    279	    117	crypto_misc.o (ex build/axtls.a)
    590	      0	      0	    590	    24e	hmac.o (ex build/axtls.a)
   5177	      0	      0	   5177	   1439	bigint.o (ex build/axtls.a)
    251	      0	      0	    251	     fb	sha384.o (ex build/axtls.a)
  11724	      0	      0	  11724	   2dcc	sha256.o (ex build/axtls.a)
   2637	      0	      0	   2637	    a4d	md5.o (ex build/axtls.a)
   2898	      0	      0	   2898	    b52	aes.o (ex build/axtls.a)
    181	      0	      0	    181	     b5	rc4.o (ex build/axtls.a)
      0	      0	      0	      0	      0	p12.o (ex build/axtls.a)
   1402	      0	      0	   1402	    57a	tls1_clnt.o (ex build/axtls.a)
    299	      0	      0	    299	    12b	loader.o (ex build/axtls.a)
      0	      0	      0	      0	      0	openssl.o (ex build/axtls.a)
      0	      0	      0	      0	      0	gen_cert.o (ex build/axtls.a)
   2833	      0	      0	   2833	    b11	asn1.o (ex build/axtls.a)
   1356	      0	      0	   1356	    54c	tls1_svr.o (ex build/axtls.a)
   6810	      0	      0	   6810	   1a9a	tls1.o (ex build/axtls.a)
   2077	      0	      0	   2077	    81d	x509.o (ex build/axtls.a)
    193	      0	      0	    193	     c1	os_port.o (ex build/axtls.a)
     58	      0	      0	     58	     3a	axtls_esp_stubs.o (ex build/axtls.a)
   3587	      0	      0	   3587	    e03	app_main.o (ex build/core.a)
    186	      0	      0	    186	     ba	esp_gpio_interrupts.o (ex build/core.a)
     74	      0	      0	     74	     4a	sdk_compat.o (ex build/core.a)
    197	      0	      4	    201	     c9	newlib_syscalls.o (ex build/core.a)
     67	      0	      0	     67	     43	esp_timer.o (ex build/core.a)
    128	      0	      0	    128	     80	esp_iomux.o (ex build/core.a)
      0	      0	   1140	   1140	    474	exception_vectors.o (ex build/core.a)
     95	      0	      0	     95	     5f	cplusplus_operators.o (ex build/core.a)
   2252	      0	      0	   2252	    8cc	queue.o (ex build/freertos.a)
