   text	   data	    bss	    dec	    hex	filename
    554	      0	      0	    554	    22a	objs-linux/alpha-ds.o
    553	      0	      0	    553	    229	objs-linux/beta-ds.o
    554	      0	      0	    554	    22a	objs-linux/delta-ds.o
    554	      0	      0	    554	    22a	objs-linux/gamma-ds.o
    565	      0	      0	    565	    235	objs-linux/linux_sdds_impl.o
   4305	      0	     24	   4329	   10e9	objs-linux/sdds-BuiltinTopic.o
   1752	      8	    224	   1984	    7c0	objs-linux/sdds-DataSink.o
   1473	      8	    272	   1753	    6d9	objs-linux/sdds-DataSource.o
    134	      0	      0	    134	     86	objs-linux/sdds-Debug.o
   1755	      0	    864	   2619	    a3b	objs-linux/sdds-Discovery.o
    550	      0	      0	    550	    226	objs-linux/sdds-Locator.o
    673	      0	    168	    841	    349	objs-linux/sdds-LocatorDB.o
      0	      0	      0	      0	      0	objs-linux/sdds-Management.o
   1074	      0	      0	   1074	    432	objs-linux/sdds-Marshalling.o
    255	      0	      0	    255	     ff	objs-linux/sdds-Msg.o
    206	      0	      0	    206	     ce	objs-linux/sdds-NetBuffRef.o
   3575	      0	      0	   3575	    df7	objs-linux/sdds-SNPS.o
    389	      0	      0	    389	    185	objs-linux/sdds-Topic.o
    537	      0	    904	   1441	    5a1	objs-linux/sdds-TopicDB.o
      0	      0	      0	      0	      0	objs-linux/sdds-linux-Event.o
   1509	      0	      4	   1513	    5e9	objs-linux/sdds-linux-Log.o
    101	      0	      0	    101	     65	objs-linux/sdds-linux-Memory.o
    192	      0	      0	    192	     c0	objs-linux/sdds-linux-NodeConfig.o
    527	      0	      0	    527	    20f	objs-linux/sdds-linux-Task.o
    335	      0	      0	    335	    14f	objs-linux/sdds-linux-Thread.o
   4430	      0	    240	   4670	   123e	objs-linux/sdds-linux-UDP.o
      0	      0	      0	      0	      0	objs-linux/sdds-sDDS.o
    379	      0	      0	    379	    17b	objs-linux/sdds.o
