   text	   data	    bss	    dec	    hex	filename
    188	     10	      8	    206	     ce	sdds.co
    392	      0	      0	    392	    188	objs-128rfa1/alpha-ds.o
    324	      0	      0	    324	    144	objs-128rfa1/atmega_sdds_impl.o
    391	      0	      0	    391	    187	objs-128rfa1/beta-ds.o
   3527	      0	     24	   3551	    ddf	objs-128rfa1/sdds-BuiltinTopic.o
   1402	      2	     46	   1450	    5aa	objs-128rfa1/sdds-DataSink.o
   1443	      2	     76	   1521	    5f1	objs-128rfa1/sdds-DataSource.o
     88	      0	      0	     88	     58	objs-128rfa1/sdds-Debug.o
   1292	      0	    206	   1498	    5da	objs-128rfa1/sdds-Discovery.o
    350	      0	      0	    350	    15e	objs-128rfa1/sdds-Locator.o
    502	      0	     41	    543	    21f	objs-128rfa1/sdds-LocatorDB.o
      0	      0	      0	      0	      0	objs-128rfa1/sdds-Management.o
    524	      0	      0	    524	    20c	objs-128rfa1/sdds-Marshalling.o
    174	      0	      0	    174	     ae	objs-128rfa1/sdds-Msg.o
     94	      0	      0	     94	     5e	objs-128rfa1/sdds-NetBuffRef.o
   2327	      0	      0	   2327	    917	objs-128rfa1/sdds-SNPS.o
    186	      0	      0	    186	     ba	objs-128rfa1/sdds-Topic.o
    392	      0	    157	    549	    225	objs-128rfa1/sdds-TopicDB.o
    501	      0	      2	    503	    1f7	objs-128rfa1/sdds-contiki-Log.o
     12	      0	      0	     12	      c	objs-128rfa1/sdds-contiki-Memory.o
    227	      0	      0	    227	     e3	objs-128rfa1/sdds-contiki-NodeConfig.o
    473	     10	     10	    493	    1ed	objs-128rfa1/sdds-contiki-Task.o
   1889	      0	     13	   1902	    76e	objs-128rfa1/sdds-contiki-UDP.o
      0	      0	      0	      0	      0	objs-128rfa1/sdds-sDDS.o
   1088	      0	    176	   1264	    4f0	obj_avr-atmega128rfa1/aes-128.o
    252	      0	      4	    256	    100	obj_avr-atmega128rfa1/anti-replay.o
     44	      0	    129	    173	     ad	obj_avr-atmega128rfa1/arg.o
     71	      0	      0	     71	     47	obj_avr-atmega128rfa1/assert.o
     56	      0	      0	     56	     38	obj_avr-atmega128rfa1/autostart.o
    244	      0	      4	    248	     f8	obj_avr-atmega128rfa1/bootloader.o
     59	      0	      0	     59	     3b	obj_avr-atmega128rfa1/button-sensor.o
    362	      0	      0	    362	    16a	obj_avr-atmega128rfa1/ccm-star-packetbuf.o
    674	      0	      0	    674	    2a2	obj_avr-atmega128rfa1/ccm-star.o
    630	      0	      3	    633	    279	obj_avr-atmega128rfa1/clock.o
    376	      0	      8	    384	    180	obj_avr-atmega128rfa1/compower.o
   1822	      3	      0	   1825	    721	obj_avr-atmega128rfa1/contiki-main.o
