   text	   data	    bss	    dec	    hex	filename
    880	      0	      0	    880	    370	objs-linux/alpha-ds.o
    879	      0	      0	    879	    36f	objs-linux/beta-ds.o
    880	      0	      0	    880	    370	objs-linux/delta-ds.o
    880	      0	      0	    880	    370	objs-linux/gamma-ds.o
    431	      0	      0	    431	    1af	objs-linux/messung6_linux.o
    739	      0	      0	    739	    2e3	objs-linux/messung6_linux_sdds_impl.o
   6509	      0	     24	   6533	   1985	objs-linux/sdds-BuiltinTopic.o
   2685	      8	    215	   2908	    b5c	objs-linux/sdds-DataSink.o
   2387	      8	    272	   2667	    a6b	objs-linux/sdds-DataSource.o
    179	      0	      0	    179	     b3	objs-linux/sdds-Debug.o
   2826	      0	    192	   3018	    bca	objs-linux/sdds-Discovery.o
      0	      0	      0	      0	      0	objs-linux/sdds-linux-Event.o
   1771	      0	      4	   1775	    6ef	objs-linux/sdds-linux-Log.o
    183	      0	      0	    183	     b7	objs-linux/sdds-linux-Memory.o
    250	      0	      0	    250	     fa	objs-linux/sdds-linux-NodeConfig.o
    970	      0	      0	    970	    3ca	objs-linux/sdds-linux-Task.o
    489	      0	      0	    489	    1e9	objs-linux/sdds-linux-Thread.o
   5885	      0	    256	   6141	   17fd	objs-linux/sdds-linux-UDP.o
   1057	      0	    168	   1225	    4c9	objs-linux/sdds-LocatorDB.o
    921	      0	      0	    921	    399	objs-linux/sdds-Locator.o
      0	      0	      0	      0	      0	objs-linux/sdds-Management.o
   1857	      0	      0	   1857	    741	objs-linux/sdds-Marshalling.o
    614	      0	      0	    614	    266	objs-linux/sdds-Msg.o
    242	      0	      0	    242	     f2	objs-linux/sdds-NetBuffRef.o
      0	      0	      0	      0	      0	objs-linux/sdds-sDDS.o
   5193	      0	      0	   5193	   1449	objs-linux/sdds-SNPS.o
    923	      0	    904	   1827	    723	objs-linux/sdds-TopicDB.o
    592	      0	      0	    592	    250	objs-linux/sdds-Topic.o
